stock,FMP
"USWC-48 STURGEON, GREEN",0
"USWC-48 STURGEON, WHITE",0
"USEC-NE EEL, AMERICAN",0
"USEC-SE EEL, AMERICAN",0
"USEC-NE EEL, CONGER",0
"USEC-SE EEL, CONGER",0
"USEC-NE NEEDLEFISH, ATLANTIC",0
USEC-NE HOUNDFISH,0
USEC-SE BALLYHOO,0
GoMex Gulf menhaden,0
USEC Atlantic menhaden,0
GeBank/GoMaine Atlantic herring,1
Alaska Kodiak herring,0
Alaska Sitka herring,0
Alaska Togiak herring,0
"USWC-48 HERRING, PACIFIC",1
"USEC-NE SHAD, GIZZARD",0
"USEC-SE SHAD, GIZZARD",0
"USEC-NE HERRING, ATLANTIC THREAD",0
"USEC-SE HERRING, ATLANTIC THREAD",0
"USEC-SE SARDINE, SPANISH",0
USWC Pacific sardine,1
"USEC-SE HERRING, ROUND",0
"USWC-48 HERRING, ROUND",0
"USEC-NE ANCHOVY, BAY",0
USWC northern anchovy,1
USWC-48 SACRAMENTO BLACKFISH,0
USWC-48 SPLITTAIL,0
USEC-NE MUMMICHOG,0
USEC-SE LADYFISH,0
USEC-NE TARPON,0
BSAI Pacific cod,1
GOA Pacific cod,1
"USWC-48 COD, PACIFIC",1
GeBank Atlantic cod,1
GoMaine Atlantic cod,1
GeBank haddock,1
GoMaine haddock,1
"USWC-48 TOMCOD, PACIFIC",0
"USWC-AK TOMCOD, PACIFIC",0
"USEC-NE TOMCOD, ATLANTIC",0
GeBank/GoMaine Atlantic pollock,1
AI walleye pollock,1
EBS walleye pollock,1
GOA walleye pollock,1
"USWC-48 POLLOCK, WALLEYE",0
USEC-NE CUSK,0
USEC-SE CUSK,0
"USEC-NE HAKE, OFFSHORE SILVER",1
nGeBank/GoMaine silver hake,1
sGeBank/midAtl silver hake,1
USWC/BC Pacific hake,1
"USEC-NE HAKE, RED",1
"USEC-SE HAKE, RED",0
"USEC-NE HAKE, SOUTHERN",0
GeBank/GoMaine white hake,1
"USEC-SE HAKE, WHITE",0
USEC-NE OPAH,0
USEC-SE OPAH,0
USWC-48 OPAH,0
USEC-NE DEALFISH,0
nGeBank/GoMaine monkfish,1
sGeBank/midAtl monkfish,1
"USEC-NE GOOSEFISH, BLACKFIN",0
East Florida striped mullet,0
"USEC-NE MULLET, STRIPED (LIZA)",0
"USEC-SE MULLET, STRIPED (LIZA)",0
"USWC-48 MULLET, STRIPED (LIZA)",0
West Florida striped mullet,0
"USEC-SE MULLET, WHITE",0
"USEC-SE BROTULA, BEARDED",0
USEC-SE AUSTRALIAN ROCKLING,0
"USWC-48 SMELT, WHITEBAIT",0
USWC-AK CAPELIN,0
"USEC-NE SMELT, RAINBOW",0
"USWC-48 SMELT, EULACHON",0
"USWC-AK SMELT, EULACHON",0
"USEC-NE LAUNCE, AMERICAN SAND",0
"USWC-48 LAUNCE, AMERICAN SAND",0
USNE Atlantic wolffish,1
USWC-48 WOLF-EEL,0
"USEC-SE POMPANO, AFRICAN",0
"USEC-NE RUNNER, BLUE",0
"USEC-SE RUNNER, BLUE",0
"USEC-NE JACK, CREVALLE",0
"USEC-SE JACK, CREVALLE",0
"USEC-SE JACK, HORSE-EYE",0
"USEC-SE JACK, BLACK",0
"USEC-SE JACK, BAR",1
"USEC-SE RUNNER, RAINBOW",0
"USEC-SE SCAD, BIGEYE",0
"USEC-SE MOONFISH, ATLANTIC",0
USEC-SE LOOKDOWN,0
GoMex greater amberjack,1
sAtl greater amberjack,1
USWC-48 YELLOWTAIL JACK,0
"USEC-SE JACK, ALMACO",1
"USEC-SE RUDDERFISH, BANDED",1
East Florida pompano,0
"USEC-NE POMPANO, FLORIDA",0
"USEC-SE POMPANO, FLORIDA",0
"USWC-48 POMPANO, FLORIDA",0
West Florida pompano,0
USEC-SE PERMIT,0
"USEC-NE SCAD, ROUGH",0
USWC-48 JACK MACKEREL,1
"USEC-NE BASS, ROCK",0
USEC-SE BLACK DRIFTFISH,0
USEC-NE BARRELFISH,0
USEC-SE BARRELFISH,0
USEC-NE DOLPHINFISH,0
USEC-SE DOLPHINFISH,1
USWC-48 DOLPHINFISH,1
USEC-NE ESCOLAR,0
USEC-SE ESCOLAR,0
USEC-SE OILFISH,0
"USWC-48 MUDSUCKER, LONGJAW",0
USEC-SE MARGATE,1
"USEC-SE GRUNT, TOMTATE",1
"USEC-SE GRUNT, WHITE",1
USEC-NE PIGFISH,0
USEC-SE PIGFISH,0
USWC-48 OPALEYE,0
USWC-48 HALFMOON,0
East Florida hogfish,1
Northern sAtl hogfish,1
West Florida hogfish,1
USWC California sheephead,0
USEC tautog,0
USEC-NE CUNNER,0
USEC-SE TRIPLETAIL,0
"USEC-SE SNAPPER, BLACK",0
"USEC-SE SNAPPER, QUEEN",1
USSE mutton snapper,1
"USEC-SE SNAPPER, SCHOOLMASTER",0
"USEC-SE SNAPPER, BLACKFIN",1
GoMex red snapper,1
sAtl red snapper,1
"USEC-SE SNAPPER, CUBERA",1
"USEC-SE SNAPPER, GRAY",1
"USEC-NE SNAPPER, DOG",0
"USEC-SE SNAPPER, DOG",0
"USEC-SE SNAPPER, MAHOGANY",0
USEC-SE SNAPPER CARIBBEAN RED,0
"USEC-SE SNAPPER, LANE",1
"USEC-SE SNAPPER, SILK",1
USSE yellowtail snapper,1
USEC-SE WENCHMAN,1
GoMex vermilion snapper,1
sAtl vermilion snapper,1
"USEC-SE TILEFISH, GOLDFACE",1
"USEC-SE TILEFISH, BLACKLINE",0
sAtl blueline tilefish,1
"USEC-SE TILEFISH, BLUELINE",1
"USWC-48 WHITEFISH, OCEAN",0
"USWC-AK WHITEFISH, OCEAN",0
GoMex golden tilefish,1
sAtl golden tilefish,1
USNE golden tilefish,1
"USEC-NE TILEFISH, SAND",0
"USEC-SE TILEFISH, SAND",1
USEC striped bass,0
"USWC-48 BASS, STRIPED",0
sAtl wreckfish,1
"USWC-48 SEA BASS, GIANT",0
USWC-48 BLACKSMITH,0
USEC bluefish,1
USEC-SE BLUEFISH,0
USEC-SE BIGEYE,0
GoMex cobia,1
sAtl cobia,1
USWC California white seabass,0
"USEC-SE SEATROUT, SAND",0
Mississippi spotted sea trout,0
"USEC-NE SEATROUT, SPOTTED",0
"USEC-SE SEATROUT, SPOTTED",0
USEC weakfish,0
"USWC-48 CROAKER, PACIFIC WHITE",0
USEC-NE SPOT,0
USEC-SE SPOT,0
"USEC-NE KINGFISH, NORTHERN",0
USEC Atlantic croaker,0
"USEC-SE CROAKER, ATLANTIC",0
"USEC-NE DRUM, BLACK",0
"USEC-SE DRUM, BLACK",0
GoMex red drum,1
USNE midAtl red drum,0
USSE sAtl red drum,0
USWC-48 QUEENFISH,0
USEC-NE WAHOO,0
USEC-SE WAHOO,1
USWC-48 WAHOO,0
"USEC-NE MACKEREL, FRIGATE",0
"USEC-NE MACKEREL, CHUB",0
"USEC-SE MACKEREL, CHUB",0
USWC Pacific mackerel,1
GoMex king mackerel,1
sAtl king mackerel,1
GoMex Spanish mackerel,1
sAtl Spanish mackerel,1
USWC-48 PACIFIC SIERRA,0
USNE Atlantic mackerel,1
"USEC-SE SEA BASS, BANK",1
"USEC-SE SEA BASS, ROCK",1
sAtl black sea bass,1
"USEC-SE SEA BASS, BLACK",0
USNE black sea bass,1
USEC-SE GRAYSBY,1
USEC-NE SAND PERCH,0
USEC-SE SAND PERCH,0
USWC-48 SAND PERCH,0
"USEC-SE HIND, ROCK",1
USWC-48 SPOTTED CABRILLA,0
"USEC-SE HIND, SPECKLED",1
GoMex yellowedge grouper,1
USEC-SE CONEY,1
"USEC-SE HIND, RED",1
