Stock.name,Year.of.first.stock.assessment,SIS stock name,SIS assessment level
GoMaine northern shrimp,1997,,
USNE barndoor skate,only relative indices,Barndoor skate - Georges Bank / Southern New England,1
USNE winter skate,only relative indices,Winter skate - Georges Bank / Southern New England,1
USSE scalloped hammerhead shark,2009,Scalloped hammerhead - Atlantic,3
GoMex king mackerel,1983,King mackerel - Gulf of Mexico,4
sAtl king mackerel,1983,King mackerel - Southern Atlantic Coast,4
USWC black rockfish (northern),1994,Black rockfish - Washington,4
USWC longspine thornyhead,1990,Longspine thornyhead - Pacific Coast,4
AI golden king crab,minimal information,Golden king crab - Aleutian Islands,1
GOA shortspine thornyhead,1995,Shortspine thornyhead - Gulf of Alaska,3
SE Alaska sea cucumber,1990,,
SE Alaska spot shrimp,1996,,
Sharpchin rockfish - Pacific Coast,2013,Sharpchin rockfish - Pacific Coast,3
Stripetail rockfish - Pacific Coast,2013,Stripetail rockfish - Pacific Coast,3
BSAI Kamchatka flounder,2012,Kamchatka flounder - Bering Sea / Aleutian Islands,4
